appid,Topic 1,Topic 2,Topic 3,Topic 4,Topic 9,Topic 10,Topic 11,Topic 12,Topic 18,Topic 21,Topic 23,Topic 25,Topic 26,Topic 29,Topic 31,Topic 32,Topic 33,Topic 34,Topic 36,Topic 38,Topic 40,Topic 41,Topic 44,Topic 46,Topic 49,Topic 5,Topic 6,Topic 7,Topic 8,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 19,Topic 20,Topic 22,Topic 24,Topic 27,Topic 28,Topic 30,Topic 35,Topic 37,Topic 39,Topic 42,Topic 43,Topic 45,Topic 47,Topic 48,Topic 50,award,area,ownership,scale
101990011,0.016304348,0.010869565,0.005434783,0.005434783,0.005434783,0.016304348,0.005434783,0.005434783,0.010869565,0.005434783,0.010869565,0.005434783,0.005434783,0.005434783,0.005434783,0.005434783,0.005434783,0.005434783,0.005434783,0.342391304,0.043478261,0.010869565,0.027173913,0.010869565,0.005434783,0.005434783,0.054347826,0.010869565,0.005434783,0.005434783,0.005434783,0.027173913,0.016304348,0.027173913,0.092391304,0.02173913,0.016304348,0.005434783,0.010869565,0.005434783,0.005434783,0.005434783,0.032608696,0.005434783,0.005434783,0.005434783,0.005434783,0.005434783,0.032608696,0.005434783,0,4,1,1
101990012,0.001430615,0.001430615,0.00286123,0.001430615,0.001430615,0.035765379,0.001430615,0.00286123,0.001430615,0.001430615,0.005722461,0.00286123,0.00286123,0.001430615,0.001430615,0.001430615,0.00286123,0.001430615,0.001430615,0.001430615,0.001430615,0.001430615,0.00286123,0.001430615,0.00286123,0.001430615,0.725321888,0.001430615,0.001430615,0.001430615,0.001430615,0.00286123,0.00286123,0.004291845,0.001430615,0.001430615,0.001430615,0.005722461,0.001430615,0.001430615,0.001430615,0.001430615,0.008583691,0.00286123,0.094420601,0.001430615,0.001430615,0.001430615,0.04434907,0.00286123,0,7,2,2
101990013,0.001594896,0.004784689,0.001594896,0.003189793,0.003189793,0.014354067,0.001594896,0.001594896,0.001594896,0.009569378,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.003189793,0.003189793,0.007974482,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.004784689,0.598086124,0.001594896,0.001594896,0.001594896,0.003189793,0.009569378,0.001594896,0.001594896,0.003189793,0.001594896,0.001594896,0.001594896,0.003189793,0.001594896,0.001594896,0.001594896,0.027113238,0.006379585,0.03030303,0.001594896,0.001594896,0.011164274,0.202551834,0.003189793,0,4,2,2
101990014,0.007407407,0.003703704,0.003703704,0.003703704,0.003703704,0.048148148,0.003703704,0.003703704,0.003703704,0.007407407,0.003703704,0.003703704,0.003703704,0.003703704,0.003703704,0.007407407,0.003703704,0.003703704,0.003703704,0.003703704,0.007407407,0.003703704,0.003703704,0.003703704,0.003703704,0.007407407,0.485185185,0.033333333,0.003703704,0.003703704,0.007407407,0.025925926,0.003703704,0.011111111,0.051851852,0.014814815,0.003703704,0.003703704,0.007407407,0.003703704,0.003703704,0.003703704,0.018518519,0.003703704,0.107407407,0.007407407,0.003703704,0.003703704,0.018518519,0.011111111,0,3,2,3
101990015,0.003076923,0.003076923,0.006153846,0.003076923,0.003076923,0.073846154,0.006153846,0.003076923,0.009230769,0.009230769,0.006153846,0.003076923,0.003076923,0.015384615,0.012307692,0.538461538,0.006153846,0.012307692,0.006153846,0.003076923,0.003076923,0.003076923,0.009230769,0.009230769,0.003076923,0.003076923,0.012307692,0.003076923,0.003076923,0.003076923,0.003076923,0.003076923,0.129230769,0.015384615,0.018461538,0.003076923,0.003076923,0.006153846,0.003076923,0.003076923,0.003076923,0.003076923,0.003076923,0.003076923,0.003076923,0.006153846,0.003076923,0.003076923,0.003076923,0.003076923,0,2,2,2
101990016,0.002028398,0.006085193,0.002028398,0.004056795,0.004056795,0.054766734,0.002028398,0.004056795,0.002028398,0.002028398,0.002028398,0.004056795,0.004056795,0.006085193,0.004056795,0.519269777,0.002028398,0.002028398,0.002028398,0.002028398,0.002028398,0.002028398,0.002028398,0.002028398,0.004056795,0.002028398,0.004056795,0.002028398,0.004056795,0.002028398,0.002028398,0.004056795,0.261663286,0.002028398,0.002028398,0.002028398,0.004056795,0.00811359,0.004056795,0.006085193,0.002028398,0.006085193,0.002028398,0.002028398,0.002028398,0.002028398,0.002028398,0.016227181,0.010141988,0.002028398,0,1,2,2
101990017,0.005172414,0.087931034,0.003448276,0.001724138,0.356896552,0.001724138,0.001724138,0.003448276,0.005172414,0.003448276,0.001724138,0.003448276,0.131034483,0.001724138,0.003448276,0.001724138,0.001724138,0.003448276,0.001724138,0.003448276,0.003448276,0.003448276,0.001724138,0.001724138,0.001724138,0.001724138,0.001724138,0.001724138,0.001724138,0.001724138,0.003448276,0.037931034,0.001724138,0.003448276,0.25,0.003448276,0.001724138,0.001724138,0.00862069,0.001724138,0.003448276,0.001724138,0.001724138,0.001724138,0.003448276,0.003448276,0.001724138,0.001724138,0.001724138,0.020689655,0,1,1,2
101990018,0.008064516,0.004032258,0.004032258,0.012096774,0.008064516,0.004032258,0.004032258,0.004032258,0.004032258,0.008064516,0.024193548,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.012096774,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.008064516,0.048387097,0.004032258,0.004032258,0.588709677,0.012096774,0.004032258,0.004032258,0.004032258,0.004032258,0.016129032,0.004032258,0.008064516,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.064516129,0.008064516,0.004032258,0.004032258,0.028225806,0.008064516,0,3,2,2
101990019,0.001782531,0.001782531,0.001782531,0.001782531,0.062388592,0.032085561,0.001782531,0.001782531,0.001782531,0.001782531,0.001782531,0.001782531,0.005347594,0.039215686,0.001782531,0.003565062,0.001782531,0.008912656,0.003565062,0.003565062,0.001782531,0.254901961,0.001782531,0.003565062,0.001782531,0.005347594,0.131907308,0.003565062,0.001782531,0.003565062,0.003565062,0.017825312,0.057040998,0.001782531,0.007130125,0.001782531,0.003565062,0.001782531,0.003565062,0.001782531,0.001782531,0.001782531,0.001782531,0.001782531,0.001782531,0.007130125,0.001782531,0.001782531,0.270944742,0.019607843,0,4,1,1
101990020,0.002666667,0.005333333,0.002666667,0.002666667,0.005333333,0.045333333,0.002666667,0.002666667,0.005333333,0.008,0.002666667,0.002666667,0.005333333,0.002666667,0.008,0.008,0.010666667,0.002666667,0.002666667,0.002666667,0.002666667,0.050666667,0.002666667,0.002666667,0.002666667,0.002666667,0.226666667,0.002666667,0.002666667,0.005333333,0.002666667,0.002666667,0.010666667,0.002666667,0.082666667,0.002666667,0.005333333,0.002666667,0.005333333,0.002666667,0.005333333,0.002666667,0.002666667,0.002666667,0.002666667,0.002666667,0.002666667,0.002666667,0.008,0.416,0,2,1,2
